iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,death_rate
AFG,Asia,Afghanistan,2020-05-12,4967.0,303.0,356.857,127.0,7.0,7.857,124.688,7.606,8.958,3.188,0.176,0.197,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,0.025568753774914434
AFG,Asia,Afghanistan,2020-05-13,4967.0,0.0,249.0,127.0,0.0,4.571,124.688,0.0,6.251,3.188,0.0,0.115,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,0.025568753774914434
AFG,Asia,Afghanistan,2020-05-14,5339.0,372.0,278.143,136.0,9.0,4.571,134.026,9.338,6.982,3.414,0.226,0.115,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,0.025472935006555536
AFG,Asia,Afghanistan,2020-05-15,6053.0,714.0,355.714,153.0,17.0,6.857,151.95,17.924,8.93,3.841,0.427,0.172,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,0.02527672228646952
AFG,Asia,Afghanistan,2020-05-16,6402.0,349.0,405.571,168.0,15.0,9.0,160.711,8.761,10.181,4.217,0.377,0.226,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,0.026241799437675725
AFG,Asia,Afghanistan,2020-05-17,6635.0,233.0,319.0,169.0,1.0,7.143,166.56,5.849,8.008,4.242,0.025,0.179,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,0.025470987189148454
AFG,Asia,Afghanistan,2020-05-18,7072.0,437.0,344.0,173.0,4.0,7.571,177.53,10.97,8.636,4.343,0.1,0.19,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,0.02446266968325792
AFG,Asia,Afghanistan,2020-05-19,7655.0,583.0,384.0,177.0,4.0,7.143,192.166,14.635,9.64,4.443,0.1,0.179,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,0.02312214239059438
AFG,Asia,Afghanistan,2020-05-20,8145.0,490.0,454.0,187.0,10.0,8.571,204.466,12.301,11.397,4.694,0.251,0.215,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,0.02295887047268263
AFG,Asia,Afghanistan,2020-05-21,8676.0,531.0,476.714,193.0,6.0,8.143,217.796,13.33,11.967,4.845,0.151,0.204,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,0.022245274319963117
